borough,station,boothremote,date,ridership
Bronx,Bedford Park Bl,('R291'-'R183'),2014-05-24 00:00:00,2760
Bronx,Bedford Park Bl,('R291'-'R183'),2014-05-25 00:00:00,2898
Bronx,Bedford Park Bl,('R291'-'R183'),2014-05-26 00:00:00,2674
Bronx,Bedford Park Bl,('R291'-'R183'),2014-05-27 00:00:00,6277
Bronx,Bedford Park Bl,('R291'-'R183'),2014-05-28 00:00:00,5909
Bronx,Bedford Park Bl,('R291'-'R183'),2014-05-29 00:00:00,6604
Bronx,Bedford Park Bl,('R291'-'R183'),2014-05-30 00:00:00,6156
Bronx,Bedford Park Bl,('R291'-'R183'),2014-05-31 00:00:00,3479
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-01 00:00:00,2877
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-02 00:00:00,6325
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-03 00:00:00,6316
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-04 00:00:00,6557
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-05 00:00:00,5407
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-06 00:00:00,6332
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-07 00:00:00,3680
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-08 00:00:00,2876
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-09 00:00:00,5869
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-10 00:00:00,6566
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-11 00:00:00,6485
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-12 00:00:00,6333
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-13 00:00:00,5596
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-14 00:00:00,64
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-15 00:00:00,111
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-16 00:00:00,6203
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-17 00:00:00,5911
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-18 00:00:00,5679
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-19 00:00:00,5785
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-20 00:00:00,5800
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-21 00:00:00,3192
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-22 00:00:00,2818
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-23 00:00:00,5456
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-24 00:00:00,5755
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-25 00:00:00,5434
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-26 00:00:00,5595
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-27 00:00:00,5028
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-28 00:00:00,2947
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-29 00:00:00,2438
Bronx,Bedford Park Bl,('R291'-'R183'),2014-06-30 00:00:00,5053
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-01 00:00:00,5190
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-02 00:00:00,5004
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-03 00:00:00,4671
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-04 00:00:00,2343
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-05 00:00:00,2658
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-06 00:00:00,2428
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-07 00:00:00,5236
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-08 00:00:00,5501
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-09 00:00:00,5472
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-10 00:00:00,5469
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-11 00:00:00,4703
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-12 00:00:00,3224
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-13 00:00:00,2368
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-14 00:00:00,5202
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-15 00:00:00,5370
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-16 00:00:00,5428
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-17 00:00:00,5122
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-18 00:00:00,4806
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-19 00:00:00,3100
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-20 00:00:00,2359
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-21 00:00:00,4957
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-22 00:00:00,5169
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-23 00:00:00,5246
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-24 00:00:00,5242
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-25 00:00:00,4768
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-26 00:00:00,3004
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-27 00:00:00,2246
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-28 00:00:00,4720
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-29 00:00:00,5242
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-30 00:00:00,5492
Bronx,Bedford Park Bl,('R291'-'R183'),2014-07-31 00:00:00,5113
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-01 00:00:00,4698
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-02 00:00:00,2894
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-03 00:00:00,2626
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-04 00:00:00,4913
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-05 00:00:00,5239
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-06 00:00:00,5161
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-07 00:00:00,4935
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-08 00:00:00,4624
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-09 00:00:00,3058
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-10 00:00:00,2474
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-11 00:00:00,4670
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-12 00:00:00,4634
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-13 00:00:00,4529
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-14 00:00:00,4585
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-15 00:00:00,4407
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-16 00:00:00,3388
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-17 00:00:00,2735
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-18 00:00:00,4377
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-19 00:00:00,4655
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-20 00:00:00,4675
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-21 00:00:00,4632
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-22 00:00:00,4378
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-23 00:00:00,2984
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-24 00:00:00,2485
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-25 00:00:00,4427
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-26 00:00:00,4807
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-27 00:00:00,4837
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-28 00:00:00,5819
Bronx,Bedford Park Bl,('R291'-'R183'),2014-08-29 00:00:00,4618
Bronx,Bedford Park Bl,('N222'-'R156'),2014-05-24 00:00:00,2893
Bronx,Bedford Park Bl,('N222'-'R156'),2014-05-25 00:00:00,2597
Bronx,Bedford Park Bl,('N222'-'R156'),2014-05-26 00:00:00,2633
Bronx,Bedford Park Bl,('N222'-'R156'),2014-05-27 00:00:00,4778
Bronx,Bedford Park Bl,('N222'-'R156'),2014-05-28 00:00:00,4939
